FIPS,COUNTY,STATE,AGEGROUP,CASES
06041,Marin,California,65+ years,1751
06045,Mendocino,California,0 - 17 years,428
06045,Mendocino,California,18 to 49 years,2134
06045,Mendocino,California,50 to 64 years,603
06045,Mendocino,California,65+ years,357
06047,Merced,California,0 - 17 years,3933
06047,Merced,California,18 to 49 years,17472
06047,Merced,California,50 to 64 years,5239
06047,Merced,California,65+ years,2617
06053,Monterey,California,0 - 17 years,5544
06053,Monterey,California,18 to 49 years,25647
06053,Monterey,California,50 to 64 years,7640
06053,Monterey,California,65+ years,3211
06055,Napa,California,0 - 17 years,1362
06055,Napa,California,18 to 49 years,5074
06055,Napa,California,50 to 64 years,1744
06055,Napa,California,65+ years,961
06057,Nevada,California,0 - 17 years,369
06057,Nevada,California,18 to 49 years,1971
06057,Nevada,California,50 to 64 years,880
06057,Nevada,California,65+ years,770
06059,Orange,California,0 - 17 years,25842
06059,Orange,California,18 to 49 years,141836
06059,Orange,California,50 to 64 years,51563
06059,Orange,California,65+ years,28710
06061,Placer,California,0 - 17 years,2421
06061,Placer,California,18 to 49 years,10534
06061,Placer,California,50 to 64 years,4291
06061,Placer,California,65+ years,3130
06065,Riverside,California,0 - 17 years,38110
06065,Riverside,California,18 to 49 years,159779
06065,Riverside,California,50 to 64 years,54880
06065,Riverside,California,65+ years,28774
06067,Sacramento,California,0 - 17 years,9862
06067,Sacramento,California,18 to 49 years,56585
06067,Sacramento,California,50 to 64 years,18178
06067,Sacramento,California,65+ years,11418
06069,San Benito,California,0 - 17 years,871
06069,San Benito,California,18 to 49 years,3336
06069,San Benito,California,50 to 64 years,1067
06069,San Benito,California,65+ years,432
06071,San Bernardino,California,0 - 17 years,36055
06071,San Bernardino,California,18 to 49 years,165665
06071,San Bernardino,California,50 to 64 years,55927
06071,San Bernardino,California,65+ years,26761
06073,San Diego,California,0 - 17 years,33578
06073,San Diego,California,18 to 49 years,155361
06073,San Diego,California,50 to 64 years,50150
06073,San Diego,California,65+ years,28872
06075,San Francisco,California,0 - 17 years,3903
06075,San Francisco,California,18 to 49 years,21338
06075,San Francisco,California,50 to 64 years,5630
06075,San Francisco,California,65+ years,3923
06077,San Joaquin,California,0 - 17 years,7635
06077,San Joaquin,California,18 to 49 years,38694
06077,San Joaquin,California,50 to 64 years,13192
06077,San Joaquin,California,65+ years,8061
06079,San Luis Obispo,California,0 - 17 years,1662
06079,San Luis Obispo,California,18 to 49 years,11879
06079,San Luis Obispo,California,50 to 64 years,3881
06079,San Luis Obispo,California,65+ years,2325
06081,San Mateo,California,0 - 17 years,5766
06081,San Mateo,California,18 to 49 years,22029
06081,San Mateo,California,50 to 64 years,7414
06081,San Mateo,California,65+ years,4576
06083,Santa Barbara,California,0 - 17 years,3164
06083,Santa Barbara,California,18 to 49 years,20328
06083,Santa Barbara,California,50 to 64 years,5760
06083,Santa Barbara,California,65+ years,3325
06085,Santa Clara,California,0 - 17 years,16937
06085,Santa Clara,California,18 to 49 years,63105
06085,Santa Clara,California,50 to 64 years,20879
06085,Santa Clara,California,65+ years,12146
06087,Santa Cruz,California,0 - 17 years,2343
06087,Santa Cruz,California,18 to 49 years,8441
06087,Santa Cruz,California,50 to 64 years,2573
06087,Santa Cruz,California,65+ years,1631
06089,Shasta,California,0 - 17 years,984
06089,Shasta,California,18 to 49 years,6030
06089,Shasta,California,50 to 64 years,2216
06089,Shasta,California,65+ years,1781
06093,Siskiyou,California,0 - 17 years,137
06093,Siskiyou,California,18 to 49 years,706
06093,Siskiyou,California,50 to 64 years,258
06093,Siskiyou,California,65+ years,220
06095,Solano,California,0 - 17 years,3660
06095,Solano,California,18 to 49 years,16862
06095,Solano,California,50 to 64 years,6273
06095,Solano,California,65+ years,3511
06097,Sonoma,California,0 - 17 years,4719
06097,Sonoma,California,18 to 49 years,16368
06097,Sonoma,California,50 to 64 years,4872
06097,Sonoma,California,65+ years,2860
06099,Stanislaus,California,0 - 17 years,6058
06099,Stanislaus,California,18 to 49 years,29680
06099,Stanislaus,California,50 to 64 years,10009
06099,Stanislaus,California,65+ years,6184
06101,Sutter,California,0 - 17 years,1135
06101,Sutter,California,18 to 49 years,4781
06101,Sutter,California,50 to 64 years,1744
06101,Sutter,California,65+ years,1231
06103,Tehama,California,0 - 17 years,679
06103,Tehama,California,18 to 49 years,2391
06103,Tehama,California,50 to 64 years,911
06103,Tehama,California,65+ years,594
06107,Tulare,California,0 - 17 years,7109
06107,Tulare,California,18 to 49 years,27529
06107,Tulare,California,50 to 64 years,8243
06107,Tulare,California,65+ years,4975
06109,Tuolumne,California,0 - 17 years,236
06109,Tuolumne,California,18 to 49 years,2226
06109,Tuolumne,California,50 to 64 years,742
06109,Tuolumne,California,65+ years,554
06111,Ventura,California,0 - 17 years,12428
06111,Ventura,California,18 to 49 years,44086
06111,Ventura,California,50 to 64 years,14306
06111,Ventura,California,65+ years,7748
06113,Yolo,California,0 - 17 years,1540
06113,Yolo,California,18 to 49 years,7792
06113,Yolo,California,50 to 64 years,2373
06113,Yolo,California,65+ years,1372
06115,Yuba,California,0 - 17 years,723
06115,Yuba,California,18 to 49 years,3241
06115,Yuba,California,50 to 64 years,907
06115,Yuba,California,65+ years,587
08001,Adams,Colorado,0 - 17 years,4547
08001,Adams,Colorado,18 to 49 years,21839
08001,Adams,Colorado,50 to 64 years,6211
08001,Adams,Colorado,65+ years,3390
08005,Arapahoe,Colorado,0 - 17 years,4919
08005,Arapahoe,Colorado,18 to 49 years,25924
08005,Arapahoe,Colorado,50 to 64 years,7277
08005,Arapahoe,Colorado,65+ years,4361
08013,Boulder,Colorado,0 - 17 years,1780
08013,Boulder,Colorado,18 to 49 years,9347
08013,Boulder,Colorado,50 to 64 years,2458
08013,Boulder,Colorado,65+ years,1634
08014,Broomfield,Colorado,0 - 17 years,402
08014,Broomfield,Colorado,18 to 49 years,1897
08014,Broomfield,Colorado,50 to 64 years,547
08014,Broomfield,Colorado,65+ years,308
08015,Chaffee,Colorado,0 - 17 years,83
08015,Chaffee,Colorado,18 to 49 years,717
08015,Chaffee,Colorado,50 to 64 years,209
08015,Chaffee,Colorado,65+ years,113
08029,Delta,Colorado,0 - 17 years,201
08029,Delta,Colorado,18 to 49 years,1012
08029,Delta,Colorado,50 to 64 years,541
08029,Delta,Colorado,65+ years,538
08031,Denver,Colorado,0 - 17 years,5416
08031,Denver,Colorado,18 to 49 years,33800
08031,Denver,Colorado,50 to 64 years,7564
